ICT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-5-1,36,30,25,27,24,22,100,73,38,1011,1008,1006,10,10,9,21,10,,0.00,2,,161
2016-5-2,37,32,28,28,26,22,94,67,39,1011,1008,1006,10,10,8,21,13,,0.00,1,,178
2016-5-3,37,33,29,27,24,20,84,62,31,1011,1008,1005,10,10,10,21,13,,0.00,1,,181
2016-5-4,37,32,28,27,24,21,89,64,33,1011,1008,1005,10,10,10,24,13,,0.00,1,,179
2016-5-5,38,33,28,28,25,21,100,65,28,1010,1008,1004,10,10,10,21,11,,0.00,1,,179
2016-5-6,38,34,30,27,25,22,84,62,34,1010,1007,1003,11,10,10,21,14,,0.00,1,,184
2016-5-7,39,34,29,27,26,22,84,63,33,1009,1007,1004,11,10,10,23,14,,0.00,1,,181
2016-5-8,37,34,31,28,26,23,84,63,36,1010,1008,1006,11,10,10,24,16,,0.00,1,,184
2016-5-9,38,34,30,28,24,21,89,60,29,1010,1008,1005,19,10,10,24,16,,0.00,1,,181
2016-5-10,38,34,30,27,24,18,84,58,21,1010,1008,1004,11,10,10,23,16,,0.00,1,,188
2016-5-11,38,34,30,28,26,24,84,64,39,1008,1006,1003,10,10,10,21,14,,0.00,1,,185
2016-5-12,38,34,31,28,26,22,84,64,34,1007,1005,1002,10,10,10,27,18,,0.00,1,,181
2016-5-13,39,33,27,29,24,22,94,61,32,1011,1006,1003,10,10,6,24,16,,0.51,1,Rain-Thunderstorm,182
2016-5-14,37,32,28,28,24,22,79,62,33,1011,1009,1006,10,10,9,23,11,,0.00,2,,145
2016-5-15,37,32,27,27,26,23,100,72,47,1012,1009,1006,10,9,1,42,13,45,46.99,2,Rain-Thunderstorm,161
2016-5-16,36,31,26,27,26,24,94,82,50,1010,1008,1005,10,9,8,27,8,47,0.00,3,Rain-Thunderstorm,67
2016-5-17,36,31,26,27,25,24,94,75,41,1011,1008,1005,10,9,5,29,10,,0.00,2,Rain-Thunderstorm,106
2016-5-18,36,31,26,27,25,24,100,73,44,1011,1008,1005,10,10,7,19,11,35,4.06,2,Rain-Thunderstorm,177
2016-5-19,37,33,29,27,25,22,89,65,32,1010,1007,1003,10,10,10,34,11,,0.00,1,,216
2016-5-20,36,31,27,27,24,23,100,73,37,1009,1007,1003,10,10,6,26,6,37,6.10,2,Rain-Thunderstorm,269
2016-5-21,36,31,27,27,24,21,100,64,34,1010,1008,1004,10,10,10,21,13,,0.25,1,Rain,263
2016-5-22,35,31,28,27,23,22,89,60,40,1010,1008,1005,10,10,9,27,14,,0.00,2,Rain,242
2016-5-23,35,31,27,25,23,22,79,61,41,1009,1007,1004,10,10,10,27,14,,0.00,1,,235
2016-5-24,36,32,28,25,23,21,74,56,36,1008,1005,1002,10,10,10,23,13,,0.00,1,,219
2016-5-25,36,32,28,24,22,21,79,56,35,1007,1005,1002,10,10,10,34,18,,0.51,1,Rain,245
2016-5-26,37,32,27,26,23,19,84,60,28,1007,1005,1002,10,10,10,26,16,,0.00,1,,235
2016-5-27,36,32,28,26,24,23,75,61,39,1008,1006,1003,10,10,10,26,13,,0.00,1,Rain,228
2016-5-28,37,33,29,25,23,21,70,56,34,1008,1006,1003,10,10,10,24,14,,0.00,1,,223
2016-5-29,36,32,29,26,23,22,75,59,35,1008,1006,1003,10,10,10,21,13,,0.00,2,,218
2016-5-30,34,30,27,27,24,22,100,69,44,1009,1007,1005,10,10,3,21,11,,43.94,2,Rain-Thunderstorm,188
2016-5-31,35,29,23,27,26,23,100,82,48,1011,1008,1006,10,9,3,23,11,,43.94,3,Rain-Thunderstorm,140
